Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD
Dell,Intel Core i5 (12th Gen),Intel,16,DDR5,GeForce RTX 3050,512,0,942
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,665.88
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,595.19
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,587.88
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,539.99
Dell,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,633.6
Tecno,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,575.99
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,598.8
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,1024,0,839.99
HP,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,731.88
Lenovo,Intel Core Ultra 5,Intel,16,LPDDR5X,Arc,1024,0,971.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,611.88
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,695.88
Acer,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,587.88
ASUS,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,256,1024,575.88
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,683.88
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,613.92
ASUS,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,779.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,GeForce RTX 3050,512,0,875.88
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,659.88
Samsung,Intel Core i5 (12th Gen),Intel,16,LPDDR5,Iris Xe,512,0,875.88
MSI,Intel Core i7 (10th Gen),Intel,8,DDR4,GeForce GTX 1650 Max Q,256,1024,791.99
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,922.8
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,611.88
ASUS,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Integrated,256,0,719.99
Infinix,Intel Core i7 (13th Gen),Intel,16,LPDDR5X,Iris Xe,512,0,599.88
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,Geforce GTX 1650,512,0,642.42
ASUS,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon Vega 3,512,0,503.88
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 2050,512,0,666
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD Graphics,512,0,717.6
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,683.99
ASUS,AMD Octa-Core Ryzen 7,AMD,16,DDR4,GeForce RTX 3050,512,0,935.88
Dell,AMD Octa-Core Ryzen 7,AMD,16,DDR5,GeForce RTX 3050,512,0,959.88
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce RTX 3050 Ti,512,0,774.61
Acer,Intel Core i5 (11th Gen),Intel,8,LPDDR4X,Iris Xe,512,0,857.76
Realme,Intel Core i3 (11th Gen),Intel,8,LPDDR4X,UHD,256,0,515.99
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,745.34
ASUS,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,695.88
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,683.88
Acer,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,594
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,503.99
ASUS,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,563.88
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,611.88
