Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,0,1024,179.88,,Total Laptops,3653
Acer,Intel Celeron Dual-Core,Intel,2,DDR3,HD Graphics,0,500,191.88,,Avg. Ram (GB),12.1
ASUS,Intel Celeron Dual-Core,Intel,2,DDR3,HD,0,500,192.12,,Avg. SSD Size (GB),538.1
Acer,Intel Celeron Dual-Core,Intel,2,DDR3,HD Graphics,0,500,203.88,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,215.17,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,215.88,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon,0,1024,215.88,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,215.88,,,
Acer,AMD Dual-Core E1 APU,AMD,4,DDR3,HD Graphics,0,1024,215.88,,,
Acer,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,215.88,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR4,UHD Graphics,256,0,215.88,,,
HP,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R3,256,0,217.5,,,
ASUS,AMD Dual-Core E1 APU,AMD,4,DDR3,HD 620,0,1024,220.69,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR3,HD,0,500,221.52,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,221.99,,,
Lenovo,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,1024,226.68,,,
HP,AMD Quad-Core APU,AMD,4,DDR3,Radeon R2,0,500,227.88,,,
HP,AMD Dual-Core E1 APU,AMD,4,DDR4,Radeon R2,0,1024,227.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR3,HD,0,500,228,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,229.52,,,
Lenovo,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R3,0,1024,231.49,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,256,0,231.73,,,
HP,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R3,0,1024,231.73,,,
Acer,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R4,0,1024,231.84,,,
HP,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,1024,233.88,,,
Acer,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,1024,233.88,,,
HP,AMD Dual-Core E1 APU,AMD,4,DDR3,Radeon R2,0,500,233.99,,,
ASUS,Intel Celeron Quad-Core,Intel,2,DDR3,HD Graphics,0,500,233.99,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,236.15,,,
Acer,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R3,0,1024,237.48,,,
HP,AMD Dual-Core Athlon,AMD,4,DDR4,Integrated,256,0,238.68,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,239.88,,,
ASUS,Intel Celeron Dual-Core,Intel,4,LPDDR3,HD 500,0,1024,239.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,HD 610,0,1024,239.88,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,500,239.88,,,
Dell,Intel Celeron Dual-Core,Intel,4,DDR3,HD Graphics,0,500,239.88,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,242.77,,,
Dell,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,242.77,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,243.88,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,1024,244.93,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,246.65,,,
HP,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,247.19,,,
ASUS,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,256,0,247.19,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR3,HD 500,0,500,248.16,,,
HP,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Athlon 3000G,256,0,250.68,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,250.8,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R5,0,1024,251.88,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,0,1024,251.88,,,
Dell,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,500,251.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,256,0,251.88,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,251.88,,,
Dell,Intel Celeron Dual-Core,Intel,4,DDR4,HD Graphics,0,1024,251.88,,,
HP,AMD Quad-Core APU,AMD,4,DDR3,Radeon R2,0,500,251.88,,,
Lenovo,Intel Pentium Quad-Core,Intel,4,DDR3,HD 4400,8,500,251.88,,,
HP,AMD Quad-Core APU,AMD,4,DDR2,Radeon R2,0,1024,251.88,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,251.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,0,1024,251.99,,,
Lenovo,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,1024,254.28,,,
ASUS,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R4,0,1024,257.88,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,257.99,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Integrated,0,1024,258.6,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,259.33,,,
HP,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon 520,0,1024,260.28,,,
HP,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R4,0,1024,261.47,,,
Lenovo,AMD Quad-Core E2 APU,AMD,4,DDR4,Radeon R2,0,500,261.84,,,
HP,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,500,262.09,,,
ASUS,Intel Atom Quad-Core,Intel,2,DDR3,HD 4000,32,500,262.8,,,
Infinix,Intel Core i3 (11th Gen),Intel,8,LPDDR4X,UHD,512,0,263.88,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R4,0,1024,263.88,,,
ASUS,AMD Quad-Core A8 APU,AMD,4,DDR3,Radeon R5,0,1024,263.88,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,263.88,,,
ASUS,Intel Celeron Dual-Core,Intel,8,DDR4,Integrated,256,0,263.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,1024,263.88,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,263.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,263.99,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R5,0,1024,264,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,264.85,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,264.85,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,264.85,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,HD,256,0,265.2,,,
Lenovo,Intel Pentium Quad-Core,Intel,4,DDR3,HD,0,1024,265.8,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,267.06,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,267.4,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,268.16,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,269.27,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR4,HD 500,0,1024,269.88,,,
HP,Intel Pentium Gold,Intel,4,DDR4,HD 610,0,1024,269.88,,,
Lenovo,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605 ,0,1024,269.88,,,
HP,AMD Quad-Core A6 APU,AMD,4,DDR3,Radeon R4,0,500,269.88,,,
Dell,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R2,0,500,270.38,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,0,1024,271.08,,,
HP,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R2,0,500,273.48,,,
ASUS,Intel Core i3 (8th Gen),Intel,4,DDR4,UHD 620,0,1024,273.68,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R2,0,1024,274.68,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,274.68,,,
Acer,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,256,0,274.79,,,
HP,Intel Pentium Quad-Core,Intel,8,DDR4,UHD,256,0,274.79,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,274.79,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,274.79,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,256,0,275.88,,,
ASUS,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,275.88,,,
HP,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,275.88,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,1024,275.88,,,
ASUS,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,275.88,,,
Lenovo,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,275.88,,,
ASUS,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,275.88,,,
Zebronics,Intel Core i3 (11th Gen),Intel,8,LPDDR4,UHD,512,0,275.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,Integrated,256,0,275.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR3,HD Graphics,0,1024,275.88,,,
AVITA,AMD Dual-Core A9 APU,AMD,8,DDR4,Radeon R5,256,0,275.88,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,275.89,,,
HP,Intel Celeron Dual-Core,Intel,8,DDR4,Integrated,256,0,275.99,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,500,275.99,,,
Acer,Intel Celeron Dual-Core,Intel,2,DDR3,HD 500,0,500,275.99,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR3,HD 400,0,1024,278.93,,,
Acer,Intel Pentium Dual-Core,Intel,4,DDR4,HD 610,0,500,279.19,,,
Acer,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Graphics,0,1024,281.04,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,281.41,,,
Lenovo,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R5,0,1024,281.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,282,,,
HP,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon,0,1024,282.52,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,284.72,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,285.65,,,
Dell,Intel Pentium Quad-Core,Intel,8,DDR4,UHD,256,0,285.83,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,285.83,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,287.39,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,1024,287.42,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,287.88,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,287.88,,,
